year,month,decimal date,average,interpolated,trend,ndays
1963,10,1963792,315.99,315.99,319.00,-1
1963,11,1963875,317.12,317.12,319.10,-1
1963,12,1963958,318.31,318.31,319.25,-1
1964,1,1964042,319.57,319.57,319.67,-1
1964,2,1964125,-99.99,320.07,319.61,-1
1964,3,1964208,-99.99,320.73,319.55,-1
1964,4,1964292,-99.99,321.77,319.48,-1
1964,5,1964375,322.25,322.25,319.42,-1
1964,6,1964458,321.89,321.89,319.69,-1
1964,7,1964542,320.44,320.44,319.58,-1
1964,8,1964625,318.70,318.70,319.81,-1
1964,9,1964708,316.70,316.70,319.56,-1
1964,10,1964792,316.79,316.79,319.78,-1
1964,11,1964875,317.79,317.79,319.72,-1
1964,12,1964958,318.71,318.71,319.59,-1
1965,1,1965042,319.44,319.44,319.48,-1
1965,2,1965125,320.44,320.44,319.97,-1
1965,3,1965208,320.89,320.89,319.65,-1
1965,4,1965292,322.13,322.13,319.80,-1
1965,5,1965375,322.16,322.16,319.36,-1
1965,6,1965458,321.87,321.87,319.65,-1
1965,7,1965542,321.39,321.39,320.51,-1
1965,8,1965625,318.81,318.81,319.93,-1
1965,9,1965708,317.81,317.81,320.68,-1
1965,10,1965792,317.30,317.30,320.36,-1
1965,11,1965875,318.87,318.87,320.87,-1
1965,12,1965958,319.42,319.42,320.26,-1
1966,1,1966042,320.62,320.62,320.63,-1
1966,2,1966125,321.59,321.59,321.10,-1
1966,3,1966208,322.39,322.39,321.16,-1
1966,4,1966292,323.87,323.87,321.51,-1
1966,5,1966375,324.01,324.01,321.18,-1
1966,6,1966458,323.75,323.75,321.52,-1
1966,7,1966542,322.39,322.39,321.49,-1
1966,8,1966625,320.37,320.37,321.50,-1
1966,9,1966708,318.64,318.64,321.54,-1
1966,10,1966792,318.10,318.10,321.18,-1
1966,11,1966875,319.79,319.79,321.84,-1
1966,12,1966958,321.08,321.08,321.95,-1
1967,1,1967042,322.07,322.07,322.07,-1
1967,2,1967125,322.50,322.50,321.94,-1
1967,3,1967208,323.04,323.04,321.72,-1
1967,4,1967292,324.42,324.42,322.05,-1
1967,5,1967375,325.00,325.00,322.27,-1
1967,6,1967458,324.09,324.09,321.94,-1
1967,7,1967542,322.55,322.55,321.66,-1
1967,8,1967625,320.92,320.92,322.04,-1
1967,9,1967708,319.31,319.31,322.19,-1
1967,10,1967792,319.31,319.31,322.36,-1
1967,11,1967875,320.72,320.72,322.78,-1
1967,12,1967958,321.96,321.96,322.86,-1
1968,1,1968042,322.57,322.57,322.55,-1
1968,2,1968125,323.15,323.15,322.56,-1
1968,3,1968208,323.89,323.89,322.59,-1
1968,4,1968292,325.02,325.02,322.73,-1
1968,5,1968375,325.57,325.57,322.87,-1
1968,6,1968458,325.36,325.36,323.20,-1
1968,7,1968542,324.14,324.14,323.25,-1
1968,8,1968625,322.03,322.03,323.15,-1
1968,9,1968708,320.41,320.41,323.31,-1
1968,10,1968792,320.25,320.25,323.32,-1
1968,11,1968875,321.31,321.31,323.32,-1
1968,12,1968958,322.84,322.84,323.69,-1
1969,1,1969042,324.00,324.00,323.98,-1
1969,2,1969125,324.42,324.42,323.89,-1
1969,3,1969208,325.64,325.64,324.41,-1
1969,4,1969292,326.66,326.66,324.35,-1
1969,5,1969375,327.34,327.34,324.57,-1
1969,6,1969458,326.76,326.76,324.63,-1
1969,7,1969542,325.88,325.88,325.08,-1
1969,8,1969625,323.67,323.67,324.80,-1
1969,9,1969708,322.38,322.38,325.28,-1
1969,10,1969792,321.78,321.78,324.84,-1
1969,11,1969875,322.85,322.85,324.78,-1
1969,12,1969958,324.11,324.11,324.88,-1
1970,1,1970042,325.03,325.03,325.04,-1
1970,2,1970125,325.99,325.99,325.42,-1
1970,3,1970208,326.87,326.87,325.69,-1
1970,4,1970292,328.13,328.13,325.86,-1
1970,5,1970375,328.07,328.07,325.27,-1
1970,6,1970458,327.66,327.66,325.52,-1
1970,7,1970542,326.35,326.35,325.51,-1
1970,8,1970625,324.69,324.69,325.76,-1
1970,9,1970708,323.10,323.10,325.93,-1
1970,10,1970792,323.16,323.16,326.15,-1
1970,11,1970875,323.98,323.98,325.96,-1
1970,12,1970958,325.13,325.13,326.06,-1
1971,1,1971042,326.17,326.17,326.25,-1
1971,2,1971125,326.68,326.68,326.10,-1
1971,3,1971208,327.18,327.18,325.94,-1
1971,4,1971292,327.78,327.78,325.47,-1
1971,5,1971375,328.92,328.92,326.11,-1
1971,6,1971458,328.57,328.57,326.40,-1
1971,7,1971542,327.34,327.34,326.45,-1
1971,8,1971625,325.46,325.46,326.49,-1
1971,9,1971708,323.36,323.36,326.19,-1
1971,10,1971792,323.57,323.57,326.58,-1
1971,11,1971875,324.80,324.80,326.82,-1
1971,12,1971958,326.01,326.01,327.02,-1
1972,1,1972042,326.77,326.77,326.85,-1
1972,2,1972125,327.63,327.63,327.04,-1
1972,3,1972208,327.75,327.75,326.53,-1
1972,4,1972292,329.72,329.72,327.42,-1
1972,5,1972375,330.07,330.07,327.23,-1
1972,6,1972458,329.09,329.09,326.92,-1
1972,7,1972542,328.05,328.05,327.20,-1
1972,8,1972625,326.32,326.32,327.37,-1
1972,9,1972708,324.93,324.93,327.76,-1
1972,10,1972792,325.06,325.06,328.06,-1
1972,11,1972875,326.50,326.50,328.50,-1
1972,12,1972958,327.55,327.55,328.55,-1
1973,1,1973042,328.54,328.54,328.58,-1
1973,2,1973125,329.56,329.56,328.86,-1
1973,3,1973208,330.30,330.30,328.99,-1
1973,4,1973292,331.50,331.50,329.14,-1
1973,5,1973375,332.48,332.48,329.62,-1
1973,6,1973458,332.07,332.07,329.94,-1
1973,7,1973542,330.87,330.87,330.05,-1
1973,8,1973625,329.31,329.31,330.42,-1
1973,9,1973708,327.51,327.51,330.45,-1
1973,10,1973792,327.18,327.18,330.23,-1
1973,11,1973875,328.16,328.16,330.16,-1
1973,12,1973958,328.64,328.64,329.66,-1
1974,1,1974042,329.35,329.35,329.45,-1
1974,2,1974125,330.71,330.71,330.12,-1
1974,3,1974208,331.48,331.48,330.20,-1
1974,4,1974292,332.65,332.65,330.26,-1
1974,5,1974375,333.19,333.19,330.27,14
1974,6,1974458,332.16,332.16,329.94,26
1974,7,1974542,331.07,331.07,330.23,24
1974,8,1974625,329.12,329.12,330.26,27
1974,9,1974708,327.32,327.32,330.28,24
1974,10,1974792,327.28,327.28,330.36,24
1974,11,1974875,328.30,328.30,330.28,27
1974,12,1974958,329.58,329.58,330.55,28
1975,1,1975042,330.73,330.73,330.89,29
1975,2,1975125,331.46,331.46,330.93,26
1975,3,1975208,331.90,331.90,330.54,18
1975,4,1975292,333.17,333.17,330.67,25
1975,5,1975375,333.94,333.94,330.98,28
1975,6,1975458,333.45,333.45,331.20,26
1975,7,1975542,331.97,331.97,331.12,24
1975,8,1975625,329.95,329.95,331.11,24
1975,9,1975708,328.50,328.50,331.48,23
1975,10,1975792,328.34,328.34,331.46,12
1975,11,1975875,329.37,329.37,331.41,19
1975,12,1975958,-99.99,330.58,331.60,0
1976,1,1976042,331.59,331.59,331.79,20
1976,2,1976125,332.75,332.75,332.20,22
1976,3,1976208,333.52,333.52,332.05,20
1976,4,1976292,334.64,334.64,332.13,19
1976,5,1976375,334.77,334.77,331.84,22
1976,6,1976458,334.00,334.00,331.65,17
1976,7,1976542,333.06,333.06,332.14,16
1976,8,1976625,330.68,330.68,331.88,23
1976,9,1976708,328.95,328.95,331.94,13
1976,10,1976792,328.75,328.75,331.92,20
1976,11,1976875,330.15,330.15,332.29,25
1976,12,1976958,331.62,331.62,332.66,20
1977,1,1977042,332.66,332.66,332.76,24
1977,2,1977125,333.13,333.13,332.51,19
1977,3,1977208,334.95,334.95,333.35,23
1977,4,1977292,336.13,336.13,333.51,21
1977,5,1977375,336.93,336.93,333.98,20
1977,6,1977458,336.17,336.17,333.80,22
1977,7,1977542,334.88,334.88,334.02,21
1977,8,1977625,332.56,332.56,333.91,18
1977,9,1977708,331.29,331.29,334.36,19
1977,10,1977792,331.27,331.27,334.52,23
1977,11,1977875,332.41,332.41,334.64,21
1977,12,1977958,333.60,333.60,334.61,26
1978,1,1978042,334.95,334.95,335.01,22
1978,2,1978125,335.25,335.25,334.58,25
1978,3,1978208,336.66,336.66,335.00,28
1978,4,1978292,337.69,337.69,335.06,18
1978,5,1978375,338.03,338.03,335.06,26
1978,6,1978458,338.01,338.01,335.59,17
1978,7,1978542,336.41,336.41,335.58,22
1978,8,1978625,334.41,334.41,335.87,19
1978,9,1978708,332.37,332.37,335.51,17
1978,10,1978792,332.41,332.41,335.68,23
1978,11,1978875,333.75,333.75,335.99,24
1978,12,1978958,334.90,334.90,335.88,27
1979,1,1979042,336.14,336.14,336.22,27
1979,2,1979125,336.69,336.69,336.01,26
1979,3,1979208,338.27,338.27,336.54,21
1979,4,1979292,338.95,338.95,336.24,21
1979,5,1979375,339.21,339.21,336.21,12
1979,6,1979458,339.26,339.26,336.84,19
1979,7,1979542,337.54,337.54,336.72,26
1979,8,1979625,335.75,335.75,337.24,23
1979,9,1979708,333.98,333.98,337.20,19
1979,10,1979792,334.19,334.19,337.53,24
1979,11,1979875,335.31,335.31,337.57,27
1979,12,1979958,336.81,336.81,337.79,22
1980,1,1980042,337.90,337.90,338.09,29
1980,2,1980125,338.34,338.34,337.82,26
1980,3,1980208,340.01,340.01,338.43,25
1980,4,1980292,340.93,340.93,338.30,24
1980,5,1980375,341.48,341.48,338.43,25
1980,6,1980458,341.33,341.33,338.84,22
1980,7,1980542,339.40,339.40,338.54,21
1980,8,1980625,337.70,337.70,339.12,17
1980,9,1980708,336.19,336.19,339.33,17
1980,10,1980792,336.15,336.15,339.42,25
1980,11,1980875,337.27,337.27,339.42,24
1980,12,1980958,338.32,338.32,339.26,19
1981,1,1981042,339.29,339.29,339.38,28
1981,2,1981125,340.55,340.55,339.93,25
1981,3,1981208,341.61,341.61,340.06,25
1981,4,1981292,342.53,342.53,339.94,24
1981,5,1981375,343.03,343.03,339.98,30
1981,6,1981458,342.54,342.54,340.07,25
1981,7,1981542,340.78,340.78,339.92,24
1981,8,1981625,338.44,338.44,339.86,26
1981,9,1981708,336.95,336.95,340.17,27
1981,10,1981792,337.08,337.08,340.43,28
1981,11,1981875,338.58,338.58,340.74,25
1981,12,1981958,339.88,339.88,340.79,19
1982,1,1982042,340.96,340.96,341.10,27
1982,2,1982125,341.73,341.73,341.10,23
1982,3,1982208,342.81,342.81,341.21,18
1982,4,1982292,343.97,343.97,341.37,8
1982,5,1982375,344.63,344.63,341.56,26
1982,6,1982458,343.79,343.79,341.35,26
1982,7,1982542,342.32,342.32,341.55,28
1982,8,1982625,340.09,340.09,341.51,24
1982,9,1982708,338.28,338.28,341.47,21
1982,10,1982792,338.29,338.29,341.64,26
1982,11,1982875,339.60,339.60,341.73,25
1982,12,1982958,340.90,340.90,341.79,26
1983,1,1983042,341.68,341.68,341.84,28
1983,2,1983125,342.90,342.90,342.32,24
1983,3,1983208,343.33,343.33,341.82,26
1983,4,1983292,345.25,345.25,342.66,24
1983,5,1983375,346.03,346.03,342.87,28
1983,6,1983458,345.63,345.63,343.15,20
1983,7,1983542,344.19,344.19,343.44,20
1983,8,1983625,342.27,342.27,343.66,16
1983,9,1983708,340.35,340.35,343.49,15
1983,10,1983792,340.38,340.38,343.72,20
1983,11,1983875,341.59,341.59,343.71,26
1983,12,1983958,343.05,343.05,343.96,19
1984,1,1984042,344.10,344.10,344.20,23
1984,2,1984125,344.79,344.79,344.22,23
1984,3,1984208,345.52,345.52,344.09,19
1984,4,1984292,-99.99,346.84,344.27,2
1984,5,1984375,347.63,347.63,344.45,21
1984,6,1984458,346.98,346.98,344.52,21
1984,7,1984542,345.53,345.53,344.76,21
1984,8,1984625,343.55,343.55,344.94,12
1984,9,1984708,341.40,341.40,344.58,14
1984,10,1984792,341.67,341.67,345.01,12
1984,11,1984875,343.10,343.10,345.20,18
1984,12,1984958,344.70,344.70,345.57,12
1985,1,1985042,345.21,345.21,345.31,23
1985,2,1985125,346.16,346.16,345.61,17
1985,3,1985208,347.74,347.74,346.37,16
1985,4,1985292,348.34,348.34,345.79,19
1985,5,1985375,349.06,349.06,345.91,24
1985,6,1985458,348.38,348.38,345.94,23
1985,7,1985542,346.71,346.71,345.89,18
1985,8,1985625,345.02,345.02,346.34,18
1985,9,1985708,343.27,343.27,346.40,25
1985,10,1985792,343.13,343.13,346.42,20
1985,11,1985875,344.49,344.49,346.61,22
1985,12,1985958,345.88,345.88,346.81,25
1986,1,1986042,346.56,346.56,346.59,23
1986,2,1986125,347.28,347.28,346.74,25
1986,3,1986208,348.01,348.01,346.68,17
1986,4,1986292,349.77,349.77,347.22,22
1986,5,1986375,350.38,350.38,347.26,18
1986,6,1986458,349.93,349.93,347.52,17
1986,7,1986542,348.16,348.16,347.33,20
1986,8,1986625,346.08,346.08,347.40,18
1986,9,1986708,345.22,345.22,348.35,17
1986,10,1986792,344.51,344.51,347.77,26
1986,11,1986875,345.93,345.93,348.04,23
1986,12,1986958,347.22,347.22,348.13,24
1987,1,1987042,348.52,348.52,348.47,26
1987,2,1987125,348.73,348.73,348.02,25
1987,3,1987208,349.73,349.73,348.30,22
1987,4,1987292,351.31,351.31,348.76,26
1987,5,1987375,352.09,352.09,349.01,27
1987,6,1987458,351.53,351.53,349.20,21
1987,7,1987542,350.11,350.11,349.39,16
1987,8,1987625,348.08,348.08,349.50,14
1987,9,1987708,346.52,346.52,349.70,23
1987,10,1987792,346.59,346.59,349.86,22
1987,11,1987875,347.96,347.96,350.07,22
1987,12,1987958,349.16,349.16,350.05,27
1988,1,1988042,350.39,350.39,350.39,24
1988,2,1988125,351.64,351.64,350.94,24
1988,3,1988208,352.40,352.40,350.87,25
1988,4,1988292,353.69,353.69,351.01,27
1988,5,1988375,354.21,354.21,351.06,28
1988,6,1988458,353.72,353.72,351.37,26
1988,7,1988542,352.69,352.69,352.02,27
1988,8,1988625,350.40,350.40,351.90,26
1988,9,1988708,348.92,348.92,352.13,27
1988,10,1988792,349.13,349.13,352.41,26
1988,11,1988875,350.20,350.20,352.34,25
1988,12,1988958,351.41,351.41,352.35,28
1989,1,1989042,352.91,352.91,352.85,27
1989,2,1989125,353.27,353.27,352.54,25
1989,3,1989208,353.96,353.96,352.47,29
1989,4,1989292,355.64,355.64,352.97,28
1989,5,1989375,355.86,355.86,352.67,28
1989,6,1989458,355.37,355.37,352.97,26
1989,7,1989542,353.99,353.99,353.30,25
1989,8,1989625,351.81,351.81,353.37,24
1989,9,1989708,350.05,350.05,353.32,23
1989,10,1989792,350.25,350.25,353.52,25
1989,11,1989875,351.49,351.49,353.65,27
1989,12,1989958,352.85,352.85,353.81,27
1990,1,1990042,353.80,353.80,353.74,25
1990,2,1990125,355.04,355.04,354.33,28
1990,3,1990208,355.73,355.73,354.24,28
1990,4,1990292,356.32,356.32,353.68,28
1990,5,1990375,357.32,357.32,354.16,29
1990,6,1990458,356.34,356.34,353.97,29
1990,7,1990542,354.84,354.84,354.19,30
1990,8,1990625,353.01,353.01,354.61,22
1990,9,1990708,351.31,351.31,354.61,27
1990,10,1990792,351.62,351.62,354.89,28
1990,11,1990875,353.07,353.07,355.13,24
1990,12,1990958,354.33,354.33,355.19,28
1991,1,1991042,354.84,354.84,354.82,28
1991,2,1991125,355.73,355.73,355.02,27
1991,3,1991208,357.23,357.23,355.68,30
1991,4,1991292,358.66,358.66,356.02,30
1991,5,1991375,359.13,359.13,356.01,29
1991,6,1991458,358.13,358.13,355.80,29
1991,7,1991542,356.19,356.19,355.59,24
1991,8,1991625,353.85,353.85,355.46,25
1991,9,1991708,352.25,352.25,355.56,27
1991,10,1991792,352.35,352.35,355.62,27
1991,11,1991875,353.81,353.81,355.80,28
1991,12,1991958,355.12,355.12,355.93,30
1992,1,1992042,356.25,356.25,356.20,31
1992,2,1992125,357.11,357.11,356.38,27
1992,3,1992208,357.86,357.86,356.27,24
1992,4,1992292,359.09,359.09,356.39,27
1992,5,1992375,359.59,359.59,356.41,26
1992,6,1992458,359.33,359.33,356.97,30
1992,7,1992542,357.01,357.01,356.44,26
1992,8,1992625,354.94,354.94,356.62,23
1992,9,1992708,352.95,352.95,356.29,26
1992,10,1992792,353.32,353.32,356.63,29
1992,11,1992875,354.32,354.32,356.38,29
1992,12,1992958,355.57,355.57,356.39,31
1993,1,1993042,357.00,357.00,356.96,28
1993,2,1993125,357.31,357.31,356.44,28
1993,3,1993208,358.47,358.47,356.76,30
1993,4,1993292,359.27,359.27,356.59,25
1993,5,1993375,360.19,360.19,357.03,30
1993,6,1993458,359.52,359.52,357.12,28
1993,7,1993542,357.33,357.33,356.76,25
1993,8,1993625,355.64,355.64,357.32,27
1993,9,1993708,354.03,354.03,357.39,23
1993,10,1993792,354.12,354.12,357.49,28
1993,11,1993875,355.41,355.41,357.54,29
1993,12,1993958,356.91,356.91,357.80,30
1994,1,1994042,358.24,358.24,358.13,27
1994,2,1994125,358.92,358.92,358.09,25
1994,3,1994208,359.99,359.99,358.29,29
1994,4,1994292,361.23,361.23,358.46,28
1994,5,1994375,361.65,361.65,358.46,30
1994,6,1994458,360.81,360.81,358.44,27
1994,7,1994542,359.38,359.38,358.79,31
1994,8,1994625,357.46,357.46,359.16,24
1994,9,1994708,355.73,355.73,359.17,24
1994,10,1994792,356.08,356.08,359.49,28
1994,11,1994875,357.53,357.53,359.68,28
1994,12,1994958,358.98,358.98,359.83,28
1995,1,1995042,359.92,359.92,359.79,30
1995,2,1995125,360.86,360.86,360.05,28
1995,3,1995208,361.83,361.83,360.22,29
1995,4,1995292,363.30,363.30,360.62,29
1995,5,1995375,363.69,363.69,360.58,29
1995,6,1995458,363.19,363.19,360.84,27
1995,7,1995542,361.64,361.64,360.97,28
1995,8,1995625,359.12,359.12,360.73,25
1995,9,1995708,358.17,358.17,361.55,24
1995,10,1995792,357.99,357.99,361.37,29
1995,11,1995875,359.45,359.45,361.59,27
1995,12,1995958,360.68,360.68,361.53,30
1996,1,1996042,362.07,362.07,361.85,29
1996,2,1996125,363.24,363.24,362.35,27
1996,3,1996208,364.17,364.17,362.53,27
1996,4,1996292,364.57,364.57,361.86,29
1996,5,1996375,365.13,365.13,362.10,30
1996,6,1996458,364.92,364.92,362.69,30
1996,7,1996542,363.55,363.55,362.85,31
1996,8,1996625,361.38,361.38,362.98,28
1996,9,1996708,359.54,359.54,362.99,25
1996,10,1996792,359.58,359.58,362.97,29
1996,11,1996875,360.89,360.89,363.03,29
1996,12,1996958,362.24,362.24,363.08,29
1997,1,1997042,363.09,363.09,362.88,31
1997,2,1997125,364.03,364.03,363.22,27
1997,3,1997208,364.51,364.51,362.88,31
1997,4,1997292,366.35,366.35,363.68,21
1997,5,1997375,366.64,366.64,363.74,29
1997,6,1997458,365.59,365.59,363.41,27
1997,7,1997542,364.31,364.31,363.60,24
1997,8,1997625,362.25,362.25,363.84,25
1997,9,1997708,360.29,360.29,363.68,26
1997,10,1997792,360.82,360.82,364.12,27
1997,11,1997875,362.49,362.49,364.56,30
1997,12,1997958,364.38,364.38,365.15,30
1998,1,1998042,365.27,365.27,365.07,30
1998,2,1998125,365.98,365.98,365.17,28
1998,3,1998208,367.24,367.24,365.60,31
1998,4,1998292,368.66,368.66,366.03,29
1998,5,1998375,369.42,369.42,366.55,30
1998,6,1998458,368.99,368.99,366.80,28
1998,7,1998542,367.82,367.82,367.14,23
1998,8,1998625,365.95,365.95,367.55,30
1998,9,1998708,364.02,364.02,367.37,28
1998,10,1998792,364.40,364.40,367.67,30
1998,11,1998875,365.52,365.52,367.56,23
1998,12,1998958,367.13,367.13,367.88,26
1999,1,1999042,368.18,368.18,367.96,27
1999,2,1999125,369.07,369.07,368.26,22
1999,3,1999208,369.68,369.68,368.08,25
1999,4,1999292,370.99,370.99,368.45,29
1999,5,1999375,370.96,370.96,368.15,26
1999,6,1999458,370.30,370.30,368.13,26
1999,7,1999542,369.45,369.45,368.77,27
1999,8,1999625,366.90,366.90,368.48,25
1999,9,1999708,364.81,364.81,368.13,28
1999,10,1999792,365.37,365.37,368.64,31
1999,11,1999875,366.72,366.72,368.71,28
1999,12,1999958,368.10,368.10,368.77,26
2000,1,2000042,369.29,369.29,369.08,26
2000,2,2000125,369.55,369.55,368.83,19
2000,3,2000208,370.60,370.60,369.09,30
2000,4,2000292,371.82,371.82,369.28,27
2000,5,2000375,371.58,371.58,368.71,28
2000,6,2000458,371.70,371.70,369.50,28
2000,7,2000542,369.86,369.86,369.20,25
2000,8,2000625,368.13,368.13,369.72,27
2000,9,2000708,367.00,367.00,370.30,26
2000,10,2000792,367.03,367.03,370.26,30
2000,11,2000875,368.37,368.37,370.32,25
2000,12,2000958,369.67,369.67,370.30,30
2001,1,2001042,370.59,370.59,370.43,30
2001,2,2001125,371.51,371.51,370.78,26
2001,3,2001208,372.43,372.43,370.87,26
2001,4,2001292,373.37,373.37,370.81,29
2001,5,2001375,373.85,373.85,370.94,24
2001,6,2001458,373.22,373.22,370.99,26
2001,7,2001542,371.50,371.50,370.90,25
2001,8,2001625,369.61,369.61,371.22,27
2001,9,2001708,368.18,368.18,371.44,28
2001,10,2001792,368.45,368.45,371.69,31
2001,11,2001875,369.76,369.76,371.74,24
2001,12,2001958,371.24,371.24,371.92,29
2002,1,2002042,372.53,372.53,372.30,28
2002,2,2002125,373.20,373.20,372.33,28
2002,3,2002208,374.12,374.12,372.44,24
2002,4,2002292,375.02,375.02,372.37,29
2002,5,2002375,375.76,375.76,372.81,29
2002,6,2002458,375.52,375.52,373.30,28
2002,7,2002542,374.01,374.01,373.42,26
2002,8,2002625,371.85,371.85,373.52,28
2002,9,2002708,370.75,370.75,374.11,23
2002,10,2002792,370.55,370.55,373.88,31
2002,11,2002875,372.25,372.25,374.34,29
2002,12,2002958,373.79,373.79,374.53,31
2003,1,2003042,374.88,374.88,374.63,30
2003,2,2003125,375.64,375.64,374.77,27
2003,3,2003208,376.45,376.45,374.80,28
2003,4,2003292,377.73,377.73,375.06,27
2003,5,2003375,378.60,378.60,375.55,30
2003,6,2003458,378.28,378.28,376.04,25
2003,7,2003542,376.70,376.70,376.19,29
2003,8,2003625,374.38,374.38,376.08,23
2003,9,2003708,373.17,373.17,376.48,25
2003,10,2003792,373.15,373.15,376.47,30
2003,11,2003875,374.66,374.66,376.81,26
2003,12,2003958,375.99,375.99,376.75,27
2004,1,2004042,377.00,377.00,376.78,30
2004,2,2004125,377.87,377.87,377.02,29
2004,3,2004208,378.88,378.88,377.23,28
2004,4,2004292,380.35,380.35,377.62,26
2004,5,2004375,380.62,380.62,377.48,28
2004,6,2004458,379.69,379.69,377.39,21
2004,7,2004542,377.47,377.47,376.94,25
2004,8,2004625,376.01,376.01,377.74,16
2004,9,2004708,374.25,374.25,377.62,15
2004,10,2004792,374.46,374.46,377.82,29
2004,11,2004875,376.16,376.16,378.31,29
2004,12,2004958,377.51,377.51,378.32,30
2005,1,2005042,378.46,378.46,378.21,31
2005,2,2005125,379.73,379.73,378.93,24
2005,3,2005208,380.77,380.77,379.27,26
2005,4,2005292,382.29,382.29,379.65,26
2005,5,2005375,382.45,382.45,379.31,31
2005,6,2005458,382.21,382.21,379.88,28
2005,7,2005542,380.74,380.74,380.18,29
2005,8,2005625,378.74,378.74,380.42,26
2005,9,2005708,376.70,376.70,380.01,26
2005,10,2005792,377.00,377.00,380.31,14
2005,11,2005875,378.35,378.35,380.50,23
2005,12,2005958,380.11,380.11,380.90,26
2006,1,2006042,381.38,381.38,381.14,24
2006,2,2006125,382.20,382.20,381.39,25
2006,3,2006208,382.67,382.67,381.14,30
2006,4,2006292,384.61,384.61,381.91,25
2006,5,2006375,385.03,385.03,381.87,24
2006,6,2006458,384.05,384.05,381.75,28
2006,7,2006542,382.46,382.46,381.91,24
2006,8,2006625,380.41,380.41,382.08,27
2006,9,2006708,378.85,378.85,382.16,27
2006,10,2006792,379.13,379.13,382.46,23
2006,11,2006875,380.15,380.15,382.33,29
2006,12,2006958,381.82,381.82,382.64,27
2007,1,2007042,382.89,382.89,382.67,24
2007,2,2007125,383.90,383.90,383.01,21
2007,3,2007208,384.58,384.58,382.94,26
2007,4,2007292,386.50,386.50,383.71,26
2007,5,2007375,386.56,386.56,383.34,29
2007,6,2007458,386.10,386.10,383.84,26
2007,7,2007542,384.50,384.50,384.02,27
2007,8,2007625,381.99,381.99,383.70,22
2007,9,2007708,380.96,380.96,384.32,21
2007,10,2007792,381.12,381.12,384.47,29
2007,11,2007875,382.45,382.45,384.65,30
